                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11209,                0.18339,               0.046626,               0.033531,             0.00057043,               0.015955,             0.00031198,             7.4992e-05,             3.8714e-05,              0.0010426,             1.9579e-05,             2.3746e-06,                0.11304,                0.10895,               0.040319,               0.033113,                0.07005,              0.0033278,              0.0033278
                      1,               0.099151,               0.096299,               0.053924,               0.028599,             0.00079826,               0.094615,             0.00091311,             0.00022706,             0.00044358,               0.052576,             0.00038074,             7.2145e-05,               0.090139,               0.097602,               0.049512,               0.023772,                0.04003,              0.0066411,              0.0066411
                      2,               0.089612,               0.086162,               0.051338,               0.017836,                0.91253,                 0.0745,               0.068837,               0.017269,                0.91558,               0.072052,               0.066939,               0.018253,               0.075744,               0.076867,               0.045361,               0.015294,                0.00999,              0.0099345,              0.0099345
                      3,               0.079731,               0.074359,               0.045369,               0.012932,                0.83454,                0.15692,                0.14906,               0.045318,                0.83278,                0.13972,                0.13868,               0.041265,               0.065633,               0.068847,               0.039615,               0.010838,                0.00991,                0.00991,                0.00991
                      4,               0.072147,               0.067061,               0.043218,               0.010631,                 0.8663,                0.17179,                  0.171,               0.059653,                0.86773,                0.15806,                0.16173,               0.058719,                0.06062,               0.062361,               0.037461,               0.010038,                0.00991,                0.00991,                0.00991
                      5,               0.066928,                0.06283,               0.041379,              0.0097383,                 0.9003,                0.19079,                0.21487,                0.08413,                 0.8878,                0.17595,                 0.2235,               0.083959,               0.056479,               0.059401,               0.035719,              0.0096003,                0.00988,                0.00988,                0.00988
                      6,                0.06321,               0.060244,               0.040268,              0.0091136,                 0.9262,                0.19671,                0.25258,                0.10424,                0.90854,                0.18548,                0.22838,               0.091151,               0.053605,               0.057711,                0.03515,              0.0090365,                0.00985,                0.00985,                0.00985
                      7,               0.060687,               0.057935,               0.038315,              0.0087075,                0.90371,                0.22308,                 0.3024,                0.13207,                0.89382,                0.20973,                0.26943,                0.11091,               0.050808,               0.054329,               0.034349,              0.0081508,                0.00982,                0.00982,                0.00982
                      8,               0.058216,               0.055657,               0.037784,              0.0080738,                0.62124,                0.40578,                0.38444,                 0.1754,                0.57285,                 0.3536,                0.32177,                0.12234,               0.048652,               0.051841,               0.032681,              0.0079089,                0.00979,                0.00979,                0.00979
                      9,               0.056364,               0.054214,                0.03671,              0.0078717,                0.68185,                0.40502,                0.40269,                0.18579,                0.66116,                0.37617,                0.37283,                0.15462,               0.047262,               0.050651,               0.031381,              0.0072797,                0.00976,                0.00976,                0.00976
