                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 0.1067,                0.11602,                0.05009,               0.029313,              0.0010078,               0.099295,              0.0020247,             0.00050244,             0.00038533,               0.040868,             0.00036241,             5.9955e-05,                0.09238,               0.098069,               0.048156,               0.025429,                 0.0702,              0.0033111,              0.0033111
                      1,               0.093724,               0.089155,               0.050569,               0.019183,                0.87752,               0.058642,               0.037022,              0.0096679,                0.87964,               0.047254,               0.030143,              0.0076487,               0.081382,                0.08325,                0.04573,               0.018798,                0.04018,              0.0066245,              0.0066245
                      2,               0.087352,               0.079132,               0.045864,               0.015603,                0.54257,               0.094236,               0.040605,               0.011427,                0.71621,               0.043664,               0.042231,               0.013595,               0.079358,               0.076344,                0.04533,               0.015071,                0.01014,              0.0099179,              0.0099179
                      3,               0.080944,               0.073048,               0.045399,                0.01261,                0.75595,                0.13048,               0.090969,               0.022858,                0.78165,               0.093158,                0.10119,               0.030272,               0.074466,               0.069568,               0.041553,               0.012368,                0.00991,                0.00991,                0.00991
                      4,               0.075577,                0.06864,               0.043561,               0.011304,                0.85143,                0.17533,                0.17343,               0.060166,                0.84072,                0.16157,                0.16207,                0.05804,               0.063833,               0.064779,               0.038476,               0.011492,                0.00991,                0.00991,                0.00991
                      5,               0.071307,               0.065177,               0.042042,               0.010344,                0.86759,                0.17894,                0.17457,               0.054293,                0.85536,                 0.1591,                0.15886,               0.055073,               0.065105,               0.063359,               0.037046,               0.010814,                0.00988,                0.00988,                0.00988
                      6,               0.069172,               0.063447,                0.04057,              0.0098959,                0.87528,                0.18951,                0.20185,               0.070504,                0.87054,                0.16525,                0.18252,                0.07208,               0.061746,               0.060509,               0.036301,               0.010047,                0.00985,                0.00985,                0.00985
                      7,               0.067097,               0.061535,               0.040469,              0.0093024,                0.90865,                0.20392,                0.24377,               0.097523,                0.89117,                0.18966,                0.22856,               0.088403,               0.056625,               0.057513,               0.034515,              0.0093755,                0.00982,                0.00982,                0.00982
                      8,               0.065467,                0.06051,               0.039433,               0.009051,                0.81954,                0.23028,                0.25728,                0.10671,                0.80201,                0.21422,                0.25526,               0.098445,                0.05564,               0.056119,               0.033595,              0.0089963,                0.00979,                0.00979,                0.00979
                      9,               0.063373,               0.058572,               0.038804,              0.0086982,                0.61007,                0.33602,                 0.3106,                0.11132,                0.60481,                0.31914,                0.29934,                0.11899,               0.056113,               0.056626,                0.03434,              0.0091212,                0.00976,                0.00976,                0.00976
                     10,               0.062873,               0.058601,               0.040291,              0.0084966,                0.64048,                 0.3734,                0.32762,                0.12325,                0.65052,                0.37534,                0.33074,                0.13126,               0.053126,               0.054371,               0.033966,              0.0085519,                0.00973,                0.00973,                0.00973
                     11,               0.061931,               0.057399,                 0.0391,              0.0081684,                0.66406,                0.40346,                0.36007,                0.15086,                0.66049,                0.38423,                0.34567,                0.14019,               0.052877,               0.053928,               0.033563,              0.0080877,                 0.0097,                 0.0097,                 0.0097
