                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.072726,               0.056681,               0.039842,               0.018734,                0.86286,                0.22853,                0.22878,                0.11039,                0.85607,                0.21306,                0.21127,                0.10042,               0.046986,               0.042873,               0.028853,               0.013436,                0.07004,              0.0033289,              0.0033289
                      1,               0.058594,               0.042688,               0.032496,               0.011217,                 0.8403,                0.24582,                0.27303,                 0.1309,                0.83657,                 0.2403,                0.25823,                0.12787,               0.048948,               0.038715,               0.026164,              0.0099052,                0.04002,              0.0066422,              0.0066422
                      2,               0.055187,               0.040411,               0.029847,              0.0090365,                 0.5455,                0.37738,                0.37304,                0.18713,                0.72875,                0.31596,                0.31397,                0.14883,                0.04496,               0.038357,               0.026867,               0.008479,                0.00998,              0.0099356,              0.0099356
                      3,               0.051912,               0.040237,               0.030159,              0.0078044,                0.56231,                0.48298,                0.47591,                0.23118,                0.54176,                0.47002,                 0.4532,                0.23092,               0.041137,               0.037729,               0.025632,              0.0071784,                0.00991,                0.00991,                0.00991
                      4,               0.048016,               0.039314,               0.029847,              0.0069047,                0.59096,                0.53917,                0.50264,                0.24578,                0.57558,                0.50707,                0.47753,                0.23197,               0.039658,               0.037954,                0.02585,              0.0063733,                0.00991,                0.00991,                0.00991
                      5,                0.04521,               0.038407,               0.028802,              0.0060515,                  0.732,                0.55582,                0.58318,                0.29475,                0.68767,                0.53039,                0.52485,                 0.2291,               0.040141,                0.03625,               0.025448,              0.0053904,                0.00988,                0.00988,                0.00988
                      6,               0.043794,               0.037177,               0.028478,               0.005682,                0.78653,                0.49961,                0.59653,                0.30361,                0.76137,                0.48509,                0.52254,                0.24078,               0.034579,               0.035838,               0.024882,              0.0051924,                0.00985,                0.00985,                0.00985
                      7,               0.042172,               0.036912,               0.028441,              0.0054299,                 0.7939,                0.59208,                0.63961,                0.32751,                0.76281,                0.56667,                0.55782,                0.26063,               0.034033,               0.035057,               0.024573,              0.0047321,                0.00982,                0.00982,                0.00982
                      8,               0.041477,                 0.0366,               0.028896,              0.0049994,                0.85686,                0.56237,                0.65965,                0.32632,                 0.8561,                0.56631,                 0.6165,                0.31644,               0.033858,               0.034616,               0.023647,              0.0044238,                0.00979,                0.00979,                0.00979
                      9,                0.04025,               0.036021,               0.027871,              0.0047776,                0.71388,                0.66584,                0.67428,                0.35763,                0.64005,                0.58007,                0.58346,                0.28095,               0.033179,               0.034771,               0.024022,              0.0042797,                0.00976,                0.00976,                0.00976
